source,country,country_name,title,company,location,salary_min,salary_max,description,url,posted,skills,query,fetched_at
adzuna,in,India,Lead Design - BESS,LT-Larsen & Toubro Limited,"Chennai, Tamil Nadu",,,"Job Title: BESS Lead Engineer Experience: 8–12 Years Job Description Technical Expertise Strong working knowledge of Battery Energy Storage Systems (BESS) , including: Battery chemistry Duty cycling and performance metrics (Round Trip Efficiency, Cycle Life, etc.) Design optimization for efficiency and reliability Battery safety Battery inverter systems Proven project engineering and delivery experience in energy storage projects within engineering or consulting environments. Preferred experien…",https://www.adzuna.in/details/5686040319?utm_medium=api&utm_source=1fc61054,2026-04-02T01:52:55Z,"['BESS', 'energy storage', 'inverter']",energy storage engineer,2026-04-04T14:48:17.034525
adzuna,in,India,Manager/Sr Manager Electrical,Adecco India Private Limited,"Pune, Maharashtra",,,"An Ideal Candidate: An ideal candidate will lead and manage the research and development of electrical systems and subsystems related to Battery Energy Storage Systems. The role includes overseeing technical teams, guiding innovation in power electronics, battery management systems (BMS), control algorithms, and ensuring compliance with safety and performance standards. This candidate will collaborate cross-functionally to bring cutting-edge BESS solutions from concept to production. Key Compet…",https://www.adzuna.in/details/5639038714?utm_medium=api&utm_source=1fc61054,2026-02-21T06:15:49Z,"['BESS', 'energy storage', 'power electronics']",energy storage engineer,2026-04-04T14:48:17.034716
adzuna,in,India,BESS Engineer,Hitachi,"Chennai, Tamil Nadu",,,"Location: Chennai, Tamil Nadu, India Job ID: R0115909 Date Posted: 2025-12-24 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity: We are seeking a highly skilled and motivated Electrical Engineer to join our dynamic engineering team. The successful candidate will be responsible as Lead Engineer for Battery Energy Storage System (BESS) Projects overseeing the technic…",https://www.adzuna.in/details/5676244049?utm_medium=api&utm_source=1fc61054,2026-03-24T01:43:16Z,"['RTU', 'BESS', 'energy storage', 'AI', 'AMI']",energy storage engineer,2026-04-04T14:48:17.034893
adzuna,in,India,Manager - Solar PV Electrical DC Design - Delhi,HRvisory,"Delhi, India",2000000.0,2500000.0,"JOB DESCRIPTION Client_ A MNC IPP in the Wind Energy sector. Role: Solar and Battery Energy Storage System (BESS) Designation: Senior Design Engineer_will lead the design, planning, and engineering of utility-scale Solar PV and BESS projects. Reporting to: Head – Engineering Responsibilities 1-Electrical Network Design & Engineering •Design and optimize utility-scale Solar PV and Battery Energy Storage Systems. •Conduct electrical BoP design including cable sizing, routing, protection systems, …",https://www.adzuna.in/details/5651769239?utm_medium=api&utm_source=1fc61054,2026-03-03T05:04:48Z,"['solar PV', 'wind energy', 'BESS', 'energy storage']",energy storage engineer,2026-04-04T14:48:17.035077
adzuna,in,India,Hardware Recruitment Drive - 17th Jan 2026,Maxwell Energy System Pvt Ltd,India,,,"Structured Walk-In Drive on 17th January 2026 at Maxwell Energy Systems, Bangalore About Maxwell Energy Systems At Maxwell, we are at the forefront of lithium-ion battery technology, focusing on making energy storage safer, more efficient, and scalable. As part of our team, you will contribute to tackling one of the world’s biggest challenges: Energy storage. We are hiring Hardware Design Engineers for multiple experience levels, from Junior to Lead Hardware Design Engineers. If you are passion…",https://www.adzuna.in/details/5567972551?utm_medium=api&utm_source=1fc61054,2026-01-05T19:29:43Z,['energy storage'],energy storage engineer,2026-04-04T14:48:17.035257
adzuna,in,India,Business Head - Power Electronics,Amor Management Consultants,"Gurgaon, Haryana",,,"We are seeking a highly experienced Business Head - Power Electronics to provide commercial, people, and organizational leadership for our Power Electronics design house. This senior-level role requires a professional with a minimum of 15 years of hands-on experience in designing EV-related power electronic products, a deep understanding of industry standards, and a proven ability to lead and mentor high-performing teams. Key Responsibilities Leadership and Team Management Lead the Power Electr…",https://www.adzuna.in/details/5661176435?utm_medium=api&utm_source=1fc61054,2026-03-11T07:02:05Z,['power electronics'],energy storage engineer,2026-04-04T14:48:17.035447
adzuna,in,India,Principal Engineer - Electrical (Renewables),WSP,"Bangalore, Karnataka",,,"Description The Senior Electrical Engineer will lead the technical design, planning, and commercial optimization of large-scale renewable energy infrastructure. You will be responsible for the full lifecycle of engineering deliverables, from conceptual frameworks and tender-level designs to detailed engineering for multi-megawatt renewable plants integrated with Battery Energy Storage Systems (BESS). Responsibilities System Design & Engineering: Lead the design of electrical systems for renewab…",https://www.adzuna.in/details/5605202609?utm_medium=api&utm_source=1fc61054,2026-01-30T00:46:12Z,"['BESS', 'energy storage', 'AI']",energy storage engineer,2026-04-04T14:48:17.035634
adzuna,in,India,Battery Electronics Design Engineer(BESS industry),DCS Group,"Gurgaon, Haryana",1000000.0,1200000.0,"Electric Industry Profile - Electronic Design Engineer Battery Energy Storage Systems (BESS) Qualification - Bachelors degree in Electronics , Advanced certifications in power electronics or embedded systems are a plus. Experience- Min. 6 years of experience in electronics engineering, preferably in BESS, renewable energy, or electric mobility. Proven expertise in BMS design, control logic development, and system integration. Hands-on experience with power electronics and auxiliary systems like…",https://www.adzuna.in/details/4995721554?utm_medium=api&utm_source=1fc61054,2025-01-03T01:39:36Z,"['BESS', 'energy storage', 'power electronics']",energy storage engineer,2026-04-04T14:48:17.035821
adzuna,in,India,BESS Electronics Designer (PLC Controlled System),DCS Group,"Gurgaon, Haryana",,,"Electric Industry Profile - Electronic Design Engineer Battery Energy Storage Systems (BESS) Qualification - Bachelors degree in Electronics , Advanced certifications in power electronics or embedded systems are a plus. Experience- Min. 6 years of experience in electronics engineering, preferably in BESS, renewable energy, or electric mobility. Proven expertise in BMS design, control logic development, and system integration. Hands-on experience with power electronics and auxiliary systems like…",https://www.adzuna.in/details/5572640720?utm_medium=api&utm_source=1fc61054,2026-01-08T02:44:36Z,"['PLC', 'BESS', 'energy storage', 'power electronics']",energy storage engineer,2026-04-04T14:48:17.036002
adzuna,in,India,Group Lead - Energy Storage System,Reliance Industries Limited,"Navi Mumbai, Maharashtra",,,"Job Purpose : Plan, organise and ensure engineering & reliability of BESS with focus on scaling up the system to GW power keeping in view approved budgets and cost optimisation measures. Job Accountabilities Accountable for engineering & reliability of energy storage systems and detailed design review with DEC. Accountable for engineering of BESS systems integration with Grid as per industry benchmark / international standards Accountable for selection of appropriate Battery and Power Converter…",https://www.adzuna.in/details/5489597105?utm_medium=api&utm_source=1fc61054,2025-11-10T22:31:45Z,"['grid', 'BESS', 'energy storage', 'AI', 'converter']",energy storage engineer,2026-04-04T14:48:20.250762
